,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,ALL_NBA_TEAM_NUMBER,NAME
7,51,1998,00,1610612758,SAC,29.0,31,0,530.0,103,273,0.377,5,31,0.161,16,16,1.0,6.0,31.0,37.0,58,16.0,1.0,19.0,31,227,0,Mahmoud Abdul-Rauf
8,51,2001,00,1610612763,VAN,32.0,41,0,485.0,120,246,0.488,4,14,0.286,22,29,0.759,5.0,20.0,25.0,76,9.0,1.0,26.0,50,266,0,Mahmoud Abdul-Rauf
0,1505,1998,00,1610612758,SAC,23.0,59,16,959.0,144,357,0.403,4,19,0.211,84,125,0.672,44.0,72.0,116.0,51,35.0,13.0,65.0,81,376,0,Tariq Abdul-Wahad
1,1505,1999,00,1610612758,SAC,24.0,49,49,1205.0,177,407,0.435,6,21,0.286,94,136,0.691,72.0,114.0,186.0,50,50.0,16.0,70.0,121,454,0,Tariq Abdul-Wahad
2,1505,2000,00,1610612753,ORL,25.0,46,46,1205.0,223,515,0.433,2,21,0.095,115,151,0.762,77.0,162.0,239.0,72,53.0,16.0,87.0,116,563,0,Tariq Abdul-Wahad
3,1505,2000,00,1610612743,DEN,25.0,15,10,373.0,51,131,0.389,1,2,0.5,31,42,0.738,24.0,28.0,52.0,26,6.0,12.0,19.0,31,134,0,Tariq Abdul-Wahad
4,1505,2000,00,0,TOT,25.0,61,56,1578.0,274,646,0.424,3,23,0.13,146,193,0.756,101.0,190.0,291.0,98,59.0,28.0,106.0,147,697,0,Tariq Abdul-Wahad
5,1505,2001,00,1610612743,DEN,26.0,29,12,421.0,43,111,0.387,4,10,0.4,21,36,0.583,14.0,45.0,59.0,22,14.0,13.0,34.0,54,111,0,Tariq Abdul-Wahad
6,1505,2002,00,1610612743,DEN,27.0,20,12,419.0,55,145,0.379,1,2,0.5,24,32,0.75,39.0,39.0,78.0,22,18.0,9.0,24.0,51,135,0,Tariq Abdul-Wahad
7,1505,2002,00,1610612742,DAL,27.0,4,0,24.0,0,2,0.0,0,0,0.0,0,1,0.0,2.0,4.0,6.0,2,2.0,1.0,3.0,5,0,0,Tariq Abdul-Wahad
8,1505,2002,00,0,TOT,27.0,24,12,442.0,55,147,0.374,1,2,0.5,24,33,0.727,41.0,43.0,84.0,24,20.0,10.0,27.0,56,135,0,Tariq Abdul-Wahad
9,1505,2003,00,1610612742,DAL,28.0,14,0,204.0,27,58,0.466,0,1,0.0,3,6,0.5,14.0,26.0,40.0,21,6.0,3.0,7.0,26,57,0,Tariq Abdul-Wahad
1,949,1998,00,1610612763,VAN,21.0,82,82,2950.0,653,1347,0.485,21,51,0.412,502,640,0.784,227.0,354.0,581.0,213,89.0,76.0,257.0,201,1829,0,Shareef Abdur-Rahim
2,949,1999,00,1610612763,VAN,22.0,50,50,2021.0,386,893,0.432,11,36,0.306,369,439,0.841,114.0,260.0,374.0,172,69.0,55.0,186.0,137,1152,0,Shareef Abdur-Rahim
3,949,2000,00,1610612763,VAN,23.0,82,82,3223.0,594,1277,0.465,29,96,0.302,446,551,0.809,218.0,607.0,825.0,271,89.0,87.0,249.0,244,1663,0,Shareef Abdur-Rahim
4,949,2001,00,1610612763,VAN,24.0,81,81,3241.0,604,1280,0.472,12,64,0.188,443,531,0.834,175.0,560.0,735.0,250,90.0,77.0,231.0,238,1663,0,Shareef Abdur-Rahim
5,949,2002,00,1610612737,ATL,25.0,77,77,2978.0,598,1297,0.461,21,70,0.3,419,523,0.801,198.0,498.0,696.0,239,98.0,81.0,250.0,214,1636,0,Shareef Abdur-Rahim
6,949,2003,00,1610612737,ATL,26.0,81,81,3087.0,566,1183,0.478,21,60,0.35,455,541,0.841,175.0,502.0,677.0,242,87.0,38.0,212.0,240,1608,0,Shareef Abdur-Rahim
7,949,2004,00,1610612737,ATL,27.0,53,53,1955.0,383,790,0.485,5,23,0.217,294,334,0.88,141.0,354.0,495.0,127,44.0,19.0,131.0,147,1065,0,Shareef Abdur-Rahim
8,949,2004,00,1610612757,POR,27.0,32,3,729.0,118,264,0.447,4,11,0.364,79,95,0.832,48.0,96.0,144.0,47,24.0,18.0,53.0,75,319,0,Shareef Abdur-Rahim
9,949,2004,00,0,TOT,27.0,85,56,2684.0,501,1054,0.475,9,34,0.265,373,429,0.869,189.0,450.0,639.0,174,68.0,37.0,184.0,222,1384,0,Shareef Abdur-Rahim
10,949,2005,00,1610612757,POR,28.0,54,49,1868.0,337,670,0.503,15,39,0.385,220,254,0.866,123.0,269.0,392.0,111,49.0,26.0,117.0,150,909,0,Shareef Abdur-Rahim
11,949,2006,00,1610612758,SAC,29.0,72,30,1961.0,332,632,0.525,5,22,0.227,218,278,0.784,106.0,251.0,357.0,149,48.0,42.0,108.0,227,887,0,Shareef Abdur-Rahim
12,949,2007,00,1610612758,SAC,30.0,80,45,2015.0,310,654,0.474,3,20,0.15,170,234,0.726,122.0,276.0,398.0,109,53.0,40.0,116.0,243,793,0,Shareef Abdur-Rahim
13,949,2008,00,1610612758,SAC,31.0,6,0,51.0,3,14,0.214,0,0,0.0,4,4,1.0,6.0,4.0,10.0,4,1.0,0.0,1.0,9,10,0,Shareef Abdur-Rahim
0,203518,2017,00,1610612760,OKC,23.0,68,6,1055.0,134,341,0.393,94,247,0.381,44,49,0.898,18.0,68.0,86.0,40,37.0,8.0,33.0,114,406,0,Alex Abrines
1,203518,2018,00,1610612760,OKC,24.0,75,8,1134.0,115,291,0.395,84,221,0.38,39,46,0.848,26.0,88.0,114.0,28,38.0,8.0,25.0,124,353,0,Alex Abrines
2,203518,2019,00,1610612760,OKC,25.0,31,2,588.0,56,157,0.357,41,127,0.323,12,13,0.923,5.0,43.0,48.0,20,17.0,6.0,14.0,53,165,0,Alex Abrines
0,1630173,2021,00,1610612748,MIA,21.0,61,4,737.0,124,228,0.544,0,1,0.0,56,110,0.509,73.0,135.0,208.0,29,20.0,28.0,43.0,91,304,0,Precious Achiuwa
1,1630173,2022,00,1610612761,TOR,22.0,73,28,1725.0,265,603,0.439,56,156,0.359,78,131,0.595,146.0,327.0,473.0,82,37.0,41.0,84.0,151,664,0,Precious Achiuwa
2,1630173,2023,00,1610612761,TOR,23.0,55,12,1141.0,196,404,0.485,29,108,0.269,87,124,0.702,100.0,228.0,328.0,50,31.0,30.0,59.0,102,508,0,Precious Achiuwa
3,1630173,2024,00,1610612761,TOR,24.0,15,0,267.0,45,102,0.441,7,26,0.269,14,25,0.56,32.0,57.0,89.0,30,9.0,6.0,19.0,25,111,0,Precious Achiuwa
0,101165,2006,00,1610612765,DET,23.0,5,0,35.0,4,16,0.25,1,5,0.2,0,0,0.0,1.0,4.0,5.0,4,1.0,0.0,4.0,4,9,0,Alex Acker
1,101165,2009,00,1610612765,DET,26.0,7,0,20.0,4,11,0.364,0,4,0.0,1,2,0.5,0.0,2.0,2.0,1,2.0,1.0,0.0,0,9,0,Alex Acker
2,101165,2009,00,1610612746,LAC,26.0,18,0,179.0,26,65,0.4,7,16,0.438,4,8,0.5,8.0,14.0,22.0,11,3.0,3.0,7.0,9,63,0,Alex Acker
3,101165,2009,00,0,TOT,26.0,25,0,200.0,30,76,0.395,7,20,0.35,5,10,0.5,8.0,16.0,24.0,12,5.0,4.0,7.0,9,72,0,Alex Acker
0,203112,2013,00,1610612761,TOR,22.0,29,0,342.0,42,75,0.56,1,2,0.5,31,38,0.816,30.0,47.0,77.0,11,13.0,15.0,17.0,53,116,0,Quincy Acy
1,203112,2014,00,1610612761,TOR,23.0,7,0,61.0,6,14,0.429,2,5,0.4,5,8,0.625,5.0,10.0,15.0,4,4.0,3.0,2.0,8,19,0,Quincy Acy
2,203112,2014,00,1610612758,SAC,23.0,56,0,786.0,60,127,0.472,2,10,0.2,30,45,0.667,67.0,134.0,201.0,24,19.0,23.0,28.0,114,152,0,Quincy Acy
3,203112,2014,00,0,TOT,23.0,63,0,848.0,66,141,0.468,4,15,0.267,35,53,0.66,72.0,144.0,216.0,28,23.0,26.0,30.0,122,171,0,Quincy Acy
4,203112,2015,00,1610612752,NYK,24.0,68,22,1287.0,152,331,0.459,18,60,0.3,76,97,0.784,79.0,222.0,301.0,68,27.0,22.0,60.0,147,398,0,Quincy Acy
5,203112,2016,00,1610612758,SAC,25.0,59,29,876.0,119,214,0.556,19,49,0.388,50,68,0.735,65.0,123.0,188.0,27,29.0,24.0,27.0,103,307,0,Quincy Acy
6,203112,2017,00,1610612742,DAL,26.0,6,0,48.0,5,17,0.294,1,7,0.143,2,3,0.667,2.0,6.0,8.0,0,0.0,0.0,2.0,9,13,0,Quincy Acy
7,203112,2017,00,1610612751,BKN,26.0,32,1,510.0,65,153,0.425,36,83,0.434,43,57,0.754,18.0,89.0,107.0,18,14.0,15.0,19.0,58,209,0,Quincy Acy
8,203112,2017,00,0,TOT,26.0,38,1,558.0,70,170,0.412,37,90,0.411,45,60,0.75,20.0,95.0,115.0,18,14.0,15.0,21.0,67,222,0,Quincy Acy
